target,case,bucket,feature_set_mape,feature_set_bs_mape,delta_pct_point
BrentCrude,Case 2,short(1-4),0.07160181631051854,0.0653199915764172,-0.628182473410134
BrentCrude,Case 2,long(5-8),0.08847781768657535,0.08509625158301647,-0.3381566103558886
BrentCrude,Case 3,short(1-4),0.06666631676089617,0.06872474395496297,0.20584271940668059
BrentCrude,Case 3,long(5-8),0.08008089190609853,0.08281725346894067,0.27363615628421406
WTI,Case 2,short(1-4),0.07598317848184262,0.06713116849680828,-0.8852009985034339
WTI,Case 2,long(5-8),0.09577812196467461,0.08385480330665168,-1.192331865802293
WTI,Case 3,short(1-4),0.07812478341204009,0.07184849849135728,-0.6276284920682801
WTI,Case 3,long(5-8),0.09524655107122965,0.09216544730295276,-0.3081103768276888
